"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"GSM1007129",0,0.0244035205545331,0.135463714431325,0,0,0.840132765014142,0
"GSM1007130",0.00367284057498945,0.113484511282697,0.280058842698319,0.113436536974263,0,0.489347268469731,0
"GSM1007131",0,0.0414967748471185,0.0380610653268159,0.0308125022227528,0.00969704888190977,0.879932608721403,0
"GSM1007132",0,0.0991003397367048,0.21196864928812,0,0,0.688931010975175,0
"GSM1007133",0,0.108367916011876,0.296612581559399,0,0,0.595019502428725,0
"GSM1007134",0.0203977951244806,0.00375375162188093,0.250398722360167,0.0811053809549297,0,0.644344349938542,0
"GSM1007135",0,0.0210791293876782,0.0954595282403715,0.0738177884976891,0,0.809643553874261,0
"GSM1007136",0,0.0681256636756474,0.275122989020409,0,0.0140755076211216,0.642675839682821,0
"GSM1007137",0,0.00388605932253101,0.146852329015193,0.152699608626099,0,0.696562003036177,0
"GSM1007138",0,0.154514837347582,0.260033287889279,0,0.0393930600995859,0.546058814663553,0
"GSM1007139",0,0.069358233036911,0.13065478250488,0,0,0.799986984458209,0
"GSM1007140",0,0.0934710316873328,0.237377925682752,0,0,0.669151042629915,0
"GSM1007141",0,0.0471643310881241,0.246767656667717,0.0254327636427597,0,0.6806352486014,0
"GSM1007142",0.0026754339109477,0,0.0116560927806021,0.233137641531536,0.0290753851675599,0.723455446609355,0
"GSM1007143",0,0.0694907488375541,0.150656626160735,0,0,0.779852625001711,0
"GSM1007144",0,0.0657086957703623,0.0580732822868463,0.0589135382133839,0,0.817304483729407,0
"GSM1007145",0,0.012623872547674,0.169320655826989,0.0741513151718656,0,0.743904156453472,0
"GSM1007146",0,0,0,0.165818597702148,0.0182966811757975,0.815884721122054,0
"GSM1007147",0,0.0195175022574533,0.130133694410368,0.110614026229511,0,0.739734777102668,0
"GSM1007148",0.00779122111398503,0,0.0635416827199249,0.159278024119546,0.0231195438987775,0.746269528147767,0
"GSM1007149",0,0,0.0270166448591479,0.230505879415326,0,0.742477475725526,0
"GSM1007150",0.0452408736120376,0,0.0730315772117485,0.184053469461353,0,0.697674079714861,0
"GSM1007151",0,0,0.0632342991763259,0.0720712216775201,0.0363244041710018,0.828370074975152,0
"GSM1007152",0,0,0,0.245352503979838,0,0.754647496020162,0
"GSM1007153",0,0.102514034947889,0.0939275703390235,0.0127239940660068,0,0.790834400647081,0
"GSM1007154",0,0.118691901625283,0.110612169982391,0.113084340260408,0.0536150196015487,0.603996568530369,0
"GSM1007155",0.118657664630322,0,0.119593018724732,0.210828320157871,0.00399802734380297,0.546922969143273,0
"GSM1007156",0,0.191631782625379,0.254353393923173,0,0,0.554014823451449,0
"GSM1007157",0.0815172041597928,0.177077928594993,0.437111815669908,0,0,0.304293051575306,0
"GSM1007158",0.0756918039062311,0.00703900126149878,0.0640113180271875,0.0437743283922609,0,0,0.809483548412822
"GSM1007159",0.0750667089693476,0.0870847346726031,0.335933361854474,0.16052779235085,0.0197580391804148,0.321629362972311,0
"GSM1007160",0,0.0877532309319695,0.0972427890903463,0.136636058140968,0.0450979716805069,0.633269950156209,0
"GSM1007161",0,0,0.0581954173888286,0.0626360512884844,0.0187591361666732,0.860409395156014,0
"GSM1007162",0,0,0,0.098138550268322,0.012167698578467,0.889693751153211,0
"GSM1007163",0.0118334911397509,0.0215333407686583,0.182630931747109,0.118321636231431,0,0.665680600113051,0
"GSM1007164",0.0813021324060157,0.00335601316101329,0.138724750816222,0.201502093849537,0.0259104982192503,0.549204511547962,0
"GSM1007165",0.0840970899620955,0.0474991216412013,0.184317334878788,0,0,0.684086453517915,0
"GSM1007166",0,0.111215253910562,0.30598507850901,0,0,0.582799667580428,0
"GSM1007167",0,0.053720806253624,0.195380985897402,0.0150583675339265,0.0254599301139899,0.710379910201058,0
"GSM1007168",0,0,0,0.126655345657317,0,0.873344654342683,0
"GSM1007169",0,0.00971142436818667,0.104179925980497,0.0818550314631097,0.00788205984614281,0.796371558342064,0
"GSM1007170",0,0.0304261246633934,0.151752477822099,0,0,0.817821397514508,0
"GSM1007171",0.0312231103567984,0.00399754667815755,0.204167052300083,0.102178429982511,0,0.65843386068245,0
"GSM1007172",0.00517875661381948,0,0.123501895015627,0.0609897700105787,0.00856362049346393,0.801765957866511,0
"GSM1007173",0.0865161750332797,0.0669409887021979,0,0.288940684494874,0.207434533560773,0,0.350167618208876
"GSM1007174",0,0,0,0.206024434005188,0,0.793975565994812,0
"GSM1007175",0.0470391087650575,0.116199010260522,0.237961540627864,0.00573783180958171,0,0.593062508536975,0
"GSM1007176",0.00469421177472547,0,0.114407645625191,0.225634127802512,0.0219752131403905,0.633288801657181,0
"GSM1007177",0.0353298419266624,0.13158750726557,0.274132957634308,0,0,0.55894969317346,0
"GSM1007178",0.00952673370742932,0,0.149010788199678,0.0611284478514086,0,0.780334030241484,0
"GSM1007179",0.0276361656690018,0.0946522416342416,0.135504980819227,0,0.00122384511913215,0.740982766758397,0
"GSM1007180",0,0.076667594458672,0.146018487005662,0,0,0.777313918535666,0
"GSM1007181",0,0.0818489992201638,0.15740693573885,0.000442628267586204,0,0.760301436773401,0
"GSM1007182",0,0.0703251550362076,0.109709276867407,0,0,0.819965568096385,0
"GSM1007183",0.0163483806302611,0.00229046914031774,0.0344311113971298,0.0684514793921931,0,0.878478559440098,0
"GSM1007184",0,0.103571560908415,0.129477538255736,0,0,0.766950900835849,0
"GSM1007185",0,0.0942000078609113,0.115779934030925,0.017879970194767,0,0.772140087913396,0
